numero,superficie,precio,estado,manzana_id,proyecto_id
1,0,4500,1,100,1
2,0,3600,1,100,1
3,0,3600,2,100,1
4,0,3600,2,100,1
5,0,4500,2,100,1
6,0,4050,2,100,1
7,0,3600,2,100,1
8,0,3600,2,100,1
9,0,3600,2,100,1
10,0,3600,1,100,1
11,0,3600,1,100,1
12,0,3600,1,100,1
13,0,3600,1,100,1
14,0,4500,1,100,1
15,0,4500,1,100,1
16,0,3600,2,100,1
17,0,3600,2,100,1
18,0,3600,1,100,1
19,0,3600,2,100,1
20,0,3600,2,100,1
21,0,3600,2,100,1
22,0,3600,2,100,1
23,0,4050,2,100,1
1,0,4500,2,101,1
2,0,3600,1,101,1
3,0,3600,2,101,1
4,0,3600,1,101,1
5,0,3600,2,101,1
6,0,3600,2,101,1
7,0,3600,2,101,1
8,0,3600,2,101,1
9,0,3600,2,101,1
10,0,3600,2,101,1
11,0,3600,2,101,1
12,0,4500,2,101,1
13,0,4500,2,101,1
14,0,3600,2,101,1
15,0,3600,2,101,1
16,0,3600,2,101,1
17,0,3600,2,101,1
18,0,3600,2,101,1
19,0,3600,2,101,1
20,0,3600,2,101,1
21,0,3600,2,101,1
22,0,3600,2,101,1
23,0,3600,2,101,1
24,0,4500,2,101,1
1,0,4500,2,110,1
2,0,3600,2,110,1
3,0,3600,2,110,1
4,0,3600,2,110,1
5,0,3600,2,110,1
6,0,3600,2,110,1
7,0,3600,2,110,1
8,0,3600,2,110,1
9,0,3600,2,110,1
10,0,3600,2,110,1
11,0,3600,2,110,1
12,0,4500,2,110,1
13,0,4500,2,110,1
14,0,3600,2,110,1
15,0,3600,2,110,1
16,0,3600,2,110,1
17,0,3600,2,110,1
18,0,3600,2,110,1
19,0,3600,2,110,1
20,0,3600,2,110,1
21,0,3600,2,110,1
22,0,3600,2,110,1
23,0,3600,2,110,1
24,0,4500,2,110,1
1,0,4500,2,111,1
2,0,3600,2,111,1
3,0,3600,2,111,1
4,0,3600,2,111,1
5,0,4500,2,111,1
1,0,4500,2,112,1
2,0,3600,2,112,1
3,0,3600,2,112,1
4,0,3600,2,112,1
5,0,3600,2,112,1
6,0,3600,2,112,1
7,0,4500,2,112,1
8,0,4500,2,112,1
9,0,4500,2,112,1
10,0,4050,2,112,1
11,0,4050,2,112,1
12,0,4500,2,112,1
13,0,4500,2,112,1
1,0,4500,2,113,1
2,0,3600,2,113,1
3,0,3600,2,113,1
4,0,3600,1,113,1
5,0,4500,2,113,1
6,0,4500,1,113,1
7,0,4500,2,113,1
8,0,4500,2,113,1
9,0,3600,2,113,1
10,0,3600,1,113,1
11,0,3600,2,113,1
12,0,4500,2,113,1
